term,mean,ci_low,ci_high,pd,rope_perc,rate_ratio_mean,rate_ratio_ci_l,rate_ratio_ci_h
dominanttree1Fagus:dominanttree2Prunus:dominanttree3Betula,0.028,-3.885,3.971,0.508,0.038,1.029,0.021,53.044
dominanttree1Fagus:dominanttree2Prunus:dominanttree3Eucalyptus,0.012,-3.94,3.89,0.502,0.04,1.013,0.019,48.932
dominanttree1Fagus:dominanttree2Prunus:dominanttree3Fagus,0.03,-3.854,3.916,0.507,0.04,1.031,0.021,50.22
dominanttree1Fagus:dominanttree2Prunus:dominanttree3Ilex,0.012,-3.846,3.805,0.5,0.04,1.012,0.021,44.939
dominanttree1Fagus:dominanttree2Prunus:dominanttree3Pinus,-0.011,-3.964,3.934,0.506,0.039,0.989,0.019,51.118
dominanttree1Fagus:dominanttree2Prunus:dominanttree3Quercus,-0.021,-3.943,3.99,0.505,0.04,0.979,0.019,54.03
dominanttree1Fagus:dominanttree2Prunus:dominanttree3Rubus,0.002,-3.872,3.818,0.5,0.039,1.002,0.021,45.516
dominanttree1Fagus:dominanttree2Prunus:dominanttree3Sambucus,0.001,-3.935,3.927,0.501,0.034,1.001,0.02,50.773
dominanttree1Fagus:dominanttree2Quercus,-0.305,-3.5,2.858,0.578,0.049,0.737,0.03,17.425
dominanttree1Fagus:dominanttree2Quercus:dominanttree3Acer,-0.003,-3.842,3.885,0.506,0.041,0.997,0.021,48.67
dominanttree1Fagus:dominanttree2Quercus:dominanttree3Betula,-0.662,-4.259,2.988,0.643,0.043,0.516,0.014,19.843
dominanttree1Fagus:dominanttree2Quercus:dominanttree3Eucalyptus,-0.005,-3.878,3.84,0.501,0.041,0.995,0.021,46.507
dominanttree1Fagus:dominanttree2Quercus:dominanttree3Fagus,-0.013,-3.916,3.927,0.509,0.04,0.987,0.02,50.759
dominanttree1Fagus:dominanttree2Quercus:dominanttree3Ilex,0.002,-3.905,3.891,0.502,0.042,1.002,0.02,48.98
dominanttree1Fagus:dominanttree2Quercus:dominanttree3Pinus,-0.014,-3.934,3.958,0.503,0.04,0.986,0.02,52.351
dominanttree1Fagus:dominanttree2Quercus:dominanttree3Quercus,0.018,-3.915,4,0.503,0.043,1.018,0.02,54.573
dominanttree1Fagus:dominanttree2Quercus:dominanttree3Rubus,0.008,-3.838,3.841,0.502,0.043,1.008,0.022,46.571
dominanttree1Fagus:dominanttree2Quercus:dominanttree3Sambucus,-0.012,-3.975,3.96,0.5,0.039,0.988,0.019,52.466
dominanttree1Fagus:dominanttree3Acer,0.012,-3.891,3.913,0.503,0.044,1.012,0.02,50.072
dominanttree1Fagus:dominanttree3Betula,-0.665,-4.19,2.91,0.644,0.038,0.514,0.015,18.352
dominanttree1Fagus:dominanttree3Eucalyptus,0.014,-3.874,3.958,0.503,0.042,1.014,0.021,52.349
dominanttree1Fagus:dominanttree3Fagus,0.008,-3.965,3.911,0.502,0.037,1.008,0.019,49.95
dominanttree1Fagus:dominanttree3Ilex,0.006,-3.979,3.925,0.503,0.038,1.006,0.019,50.664
dominanttree1Fagus:dominanttree3Pinus,0.683,-2.872,4.238,0.644,0.042,1.979,0.057,69.247
dominanttree1Fagus:dominanttree3Quercus,-0.013,-3.666,3.562,0.501,0.042,0.987,0.026,35.245
dominanttree1Fagus:dominanttree3Rubus,0.002,-4.008,3.938,0.501,0.043,1.002,0.018,51.301
dominanttree1Fagus:dominanttree3Sambucus,0.016,-3.809,3.861,0.508,0.041,1.016,0.022,47.503
dominanttree1Fraxinus,-1.32,-4.424,1.758,0.796,0.039,0.267,0.012,5.801
dominanttree1Fraxinus:dominanttree2Acer,0.554,-3.042,4.163,0.624,0.04,1.741,0.048,64.273
dominanttree1Fraxinus:dominanttree2Acer:dominanttree3Acer,-0.003,-3.899,3.912,0.501,0.038,0.997,0.02,49.993
dominanttree1Fraxinus:dominanttree2Acer:dominanttree3Betula,0.395,-3.238,4.073,0.589,0.043,1.484,0.039,58.729
dominanttree1Fraxinus:dominanttree2Acer:dominanttree3Eucalyptus,-0.008,-3.976,3.996,0.503,0.042,0.992,0.019,54.403
dominanttree1Fraxinus:dominanttree2Acer:dominanttree3Fagus,-0.008,-4.043,4.096,0.503,0.038,0.992,0.018,60.089
dominanttree1Fraxinus:dominanttree2Acer:dominanttree3Ilex,0.011,-3.973,3.993,0.5,0.041,1.011,0.019,54.241
dominanttree1Fraxinus:dominanttree2Acer:dominanttree3Pinus,0.019,-3.896,3.915,0.502,0.04,1.02,0.02,50.148
dominanttree1Fraxinus:dominanttree2Acer:dominanttree3Quercus,-0.006,-3.921,3.856,0.503,0.04,0.994,0.02,47.288
dominanttree1Fraxinus:dominanttree2Acer:dominanttree3Rubus,-0.009,-3.907,3.913,0.503,0.038,0.991,0.02,50.042
dominanttree1Fraxinus:dominanttree2Acer:dominanttree3Sambucus,0.202,-3.387,3.832,0.543,0.041,1.224,0.034,46.153
dominanttree1Fraxinus:dominanttree2Alnus,0.005,-3.879,3.815,0.504,0.038,1.005,0.021,45.362
dominanttree1Fraxinus:dominanttree2Alnus:dominanttree3Acer,0.013,-3.869,3.818,0.508,0.039,1.013,0.021,45.493
dominanttree1Fraxinus:dominanttree2Alnus:dominanttree3Betula,-0.015,-3.899,3.867,0.502,0.038,0.985,0.02,47.807
dominanttree1Fraxinus:dominanttree2Alnus:dominanttree3Eucalyptus,-0.004,-3.903,3.88,0.504,0.044,0.996,0.02,48.434
dominanttree1Fraxinus:dominanttree2Alnus:dominanttree3Fagus,0.023,-3.95,3.984,0.506,0.039,1.023,0.019,53.742
dominanttree1Fraxinus:dominanttree2Alnus:dominanttree3Ilex,-0.002,-3.972,3.989,0.501,0.039,0.998,0.019,53.981
dominanttree1Fraxinus:dominanttree2Alnus:dominanttree3Pinus,-0.01,-3.939,3.871,0.505,0.042,0.99,0.019,47.995
dominanttree1Fraxinus:dominanttree2Alnus:dominanttree3Quercus,-0.008,-3.941,3.863,0.5,0.042,0.992,0.019,47.606
dominanttree1Fraxinus:dominanttree2Alnus:dominanttree3Rubus,-0.027,-4.086,3.908,0.504,0.042,0.973,0.017,49.786
dominanttree1Fraxinus:dominanttree2Alnus:dominanttree3Sambucus,-0.005,-3.918,3.965,0.5,0.04,0.995,0.02,52.733
dominanttree1Fraxinus:dominanttree2Betula,-0.706,-4.52,3.116,0.644,0.042,0.493,0.011,22.563
dominanttree1Fraxinus:dominanttree2Betula:dominanttree3Acer,-0.701,-4.548,3.097,0.637,0.039,0.496,0.011,22.127
dominanttree1Fraxinus:dominanttree2Betula:dominanttree3Betula,-0.001,-3.958,3.911,0.502,0.041,0.999,0.019,49.971
dominanttree1Fraxinus:dominanttree2Betula:dominanttree3Eucalyptus,0.015,-3.894,3.916,0.505,0.043,1.016,0.02,50.218
dominanttree1Fraxinus:dominanttree2Betula:dominanttree3Fagus,-0.005,-3.961,3.847,0.502,0.041,0.995,0.019,46.851
dominanttree1Fraxinus:dominanttree2Betula:dominanttree3Ilex,-0.003,-3.821,3.883,0.503,0.041,0.997,0.022,48.551
dominanttree1Fraxinus:dominanttree2Betula:dominanttree3Pinus,-0.012,-3.855,3.903,0.505,0.043,0.988,0.021,49.571
dominanttree1Fraxinus:dominanttree2Betula:dominanttree3Quercus,0.011,-3.893,3.915,0.5,0.038,1.011,0.02,50.151
dominanttree1Fraxinus:dominanttree2Betula:dominanttree3Rubus,-0.014,-3.953,3.889,0.5,0.038,0.986,0.019,48.856
dominanttree1Fraxinus:dominanttree2Betula:dominanttree3Sambucus,0.002,-3.834,3.796,0.501,0.042,1.002,0.022,44.505
dominanttree1Fraxinus:dominanttree2Cedrus,0.309,-3.389,4.056,0.563,0.042,1.362,0.034,57.756
dominanttree1Fraxinus:dominanttree2Cedrus:dominanttree3Acer,-0.002,-4.024,3.939,0.501,0.037,0.998,0.018,51.37
dominanttree1Fraxinus:dominanttree2Cedrus:dominanttree3Betula,0.015,-3.826,3.86,0.5,0.035,1.015,0.022,47.461
dominanttree1Fraxinus:dominanttree2Cedrus:dominanttree3Eucalyptus,0.303,-3.342,3.995,0.564,0.039,1.354,0.035,54.316
dominanttree1Fraxinus:dominanttree2Cedrus:dominanttree3Fagus,-0.014,-4.006,3.987,0.504,0.037,0.986,0.018,53.903
dominanttree1Fraxinus:dominanttree2Cedrus:dominanttree3Ilex,-0.015,-3.929,3.899,0.501,0.04,0.985,0.02,49.375
dominanttree1Fraxinus:dominanttree2Cedrus:dominanttree3Pinus,0.012,-4.068,4.042,0.505,0.041,1.012,0.017,56.949
dominanttree1Fraxinus:dominanttree2Cedrus:dominanttree3Quercus,-0.004,-3.983,3.914,0.5,0.042,0.996,0.019,50.099
dominanttree1Fraxinus:dominanttree2Cedrus:dominanttree3Rubus,0.006,-3.866,3.871,0.503,0.039,1.006,0.021,48.007
dominanttree1Fraxinus:dominanttree2Cedrus:dominanttree3Sambucus,-0.005,-3.93,3.879,0.502,0.04,0.995,0.02,48.382
dominanttree1Fraxinus:dominanttree2Crataegus,0,-4.005,3.994,0.502,0.041,1,0.018,54.285
dominanttree1Fraxinus:dominanttree2Crataegus:dominanttree3Acer,-0.004,-3.987,3.971,0.504,0.041,0.996,0.019,53.017
dominanttree1Fraxinus:dominanttree2Crataegus:dominanttree3Betula,0,-3.875,3.868,0.5,0.039,1,0.021,47.827
dominanttree1Fraxinus:dominanttree2Crataegus:dominanttree3Eucalyptus,-0.011,-3.916,3.881,0.5,0.038,0.989,0.02,48.492
dominanttree1Fraxinus:dominanttree2Crataegus:dominanttree3Fagus,-0.028,-3.92,3.954,0.505,0.04,0.972,0.02,52.12
dominanttree1Fraxinus:dominanttree2Crataegus:dominanttree3Ilex,-0.009,-3.897,3.901,0.504,0.04,0.992,0.02,49.442
dominanttree1Fraxinus:dominanttree2Crataegus:dominanttree3Pinus,0.002,-3.933,4.028,0.502,0.033,1.002,0.02,56.125
dominanttree1Fraxinus:dominanttree2Crataegus:dominanttree3Quercus,0.01,-3.916,3.914,0.502,0.042,1.01,0.02,50.079
dominanttree1Fraxinus:dominanttree2Crataegus:dominanttree3Rubus,0.003,-3.867,3.84,0.5,0.039,1.003,0.021,46.513
dominanttree1Fraxinus:dominanttree2Crataegus:dominanttree3Sambucus,0.012,-3.915,3.953,0.505,0.039,1.012,0.02,52.071
dominanttree1Fraxinus:dominanttree2Fagus,-1.514,-5.057,2.029,0.797,0.028,0.22,0.006,7.606
dominanttree1Fraxinus:dominanttree2Fagus:dominanttree3Acer,0.011,-3.931,3.963,0.5,0.041,1.011,0.02,52.606
dominanttree1Fraxinus:dominanttree2Fagus:dominanttree3Betula,-0.019,-4.014,3.952,0.502,0.04,0.981,0.018,52.065
dominanttree1Fraxinus:dominanttree2Fagus:dominanttree3Eucalyptus,0.013,-3.887,3.969,0.502,0.038,1.013,0.021,52.957
dominanttree1Fraxinus:dominanttree2Fagus:dominanttree3Fagus,0.002,-3.942,3.825,0.504,0.039,1.002,0.019,45.825
dominanttree1Fraxinus:dominanttree2Fagus:dominanttree3Ilex,0.002,-3.94,3.935,0.502,0.039,1.002,0.019,51.159
dominanttree1Fraxinus:dominanttree2Fagus:dominanttree3Pinus,-0.006,-3.977,3.974,0.502,0.041,0.994,0.019,53.198
dominanttree1Fraxinus:dominanttree2Fagus:dominanttree3Quercus,-0.02,-3.939,3.862,0.507,0.043,0.98,0.019,47.558
dominanttree1Fraxinus:dominanttree2Fagus:dominanttree3Rubus,0.016,-4.043,4.061,0.507,0.041,1.016,0.018,58.02
dominanttree1Fraxinus:dominanttree2Fagus:dominanttree3Sambucus,0.005,-3.962,3.949,0.503,0.042,1.005,0.019,51.906
dominanttree1Fraxinus:dominanttree2Fraxinus,0.019,-3.819,3.881,0.504,0.039,1.019,0.022,48.449
dominanttree1Fraxinus:dominanttree2Fraxinus:dominanttree3Acer,-0.003,-3.93,3.898,0.501,0.039,0.997,0.02,49.309
dominanttree1Fraxinus:dominanttree2Fraxinus:dominanttree3Betula,0.001,-3.922,3.935,0.5,0.041,1.001,0.02,51.149
dominanttree1Fraxinus:dominanttree2Fraxinus:dominanttree3Eucalyptus,0.01,-3.837,3.96,0.502,0.037,1.01,0.022,52.452
dominanttree1Fraxinus:dominanttree2Fraxinus:dominanttree3Fagus,-0.004,-3.934,3.948,0.504,0.045,0.996,0.02,51.856
dominanttree1Fraxinus:dominanttree2Fraxinus:dominanttree3Ilex,-0.001,-3.827,3.902,0.501,0.04,0.999,0.022,49.514
dominanttree1Fraxinus:dominanttree2Fraxinus:dominanttree3Pinus,-0.003,-3.958,3.905,0.5,0.039,0.997,0.019,49.652
dominanttree1Fraxinus:dominanttree2Fraxinus:dominanttree3Quercus,-0.003,-3.986,3.991,0.501,0.038,0.997,0.019,54.118
dominanttree1Fraxinus:dominanttree2Fraxinus:dominanttree3Rubus,-0.018,-3.929,3.882,0.501,0.04,0.982,0.02,48.508
dominanttree1Fraxinus:dominanttree2Fraxinus:dominanttree3Sambucus,0.02,-3.835,3.894,0.504,0.044,1.02,0.022,49.092
dominanttree1Fraxinus:dominanttree2Picea,0.014,-3.908,3.977,0.502,0.039,1.014,0.02,53.363
dominanttree1Fraxinus:dominanttree2Picea:dominanttree3Acer,0.025,-3.911,3.983,0.506,0.038,1.025,0.02,53.672
dominanttree1Fraxinus:dominanttree2Picea:dominanttree3Betula,-0.012,-4.036,3.959,0.501,0.04,0.988,0.018,52.408
dominanttree1Fraxinus:dominanttree2Picea:dominanttree3Eucalyptus,-0.009,-3.82,3.782,0.501,0.04,0.991,0.022,43.883
dominanttree1Fraxinus:dominanttree2Picea:dominanttree3Fagus,0,-3.941,3.936,0.502,0.04,1,0.019,51.229
dominanttree1Fraxinus:dominanttree2Picea:dominanttree3Ilex,0.018,-3.945,3.874,0.504,0.036,1.018,0.019,48.141
dominanttree1Fraxinus:dominanttree2Picea:dominanttree3Pinus,0.008,-3.913,3.898,0.502,0.043,1.008,0.02,49.293
dominanttree1Fraxinus:dominanttree2Picea:dominanttree3Quercus,0.013,-4.01,4.038,0.501,0.042,1.013,0.018,56.727
dominanttree1Fraxinus:dominanttree2Picea:dominanttree3Rubus,0.003,-3.91,3.893,0.505,0.04,1.003,0.02,49.08
dominanttree1Fraxinus:dominanttree2Picea:dominanttree3Sambucus,0.011,-3.896,3.965,0.5,0.038,1.011,0.02,52.737
dominanttree1Fraxinus:dominanttree2Pinus,0.009,-3.897,3.863,0.505,0.041,1.009,0.02,47.598
dominanttree1Fraxinus:dominanttree2Pinus:dominanttree3Acer,-0.017,-3.915,3.948,0.505,0.04,0.983,0.02,51.812
dominanttree1Fraxinus:dominanttree2Pinus:dominanttree3Betula,-0.002,-3.896,3.927,0.503,0.039,0.998,0.02,50.753
dominanttree1Fraxinus:dominanttree2Pinus:dominanttree3Eucalyptus,-0.007,-3.929,3.896,0.502,0.039,0.993,0.02,49.224
dominanttree1Fraxinus:dominanttree2Pinus:dominanttree3Fagus,0.011,-3.929,3.973,0.504,0.038,1.011,0.02,53.123
dominanttree1Fraxinus:dominanttree2Pinus:dominanttree3Ilex,-0.002,-3.973,4.032,0.505,0.038,0.998,0.019,56.354
dominanttree1Fraxinus:dominanttree2Pinus:dominanttree3Pinus,0.007,-3.918,3.935,0.503,0.039,1.007,0.02,51.16
dominanttree1Fraxinus:dominanttree2Pinus:dominanttree3Quercus,0.012,-3.952,3.854,0.504,0.038,1.012,0.019,47.164
dominanttree1Fraxinus:dominanttree2Pinus:dominanttree3Rubus,-0.015,-4.036,3.991,0.505,0.045,0.986,0.018,54.109
dominanttree1Fraxinus:dominanttree2Pinus:dominanttree3Sambucus,0.014,-3.983,3.962,0.505,0.039,1.014,0.019,52.555
dominanttree1Fraxinus:dominanttree2Prunus,-0.003,-3.904,3.862,0.501,0.041,0.997,0.02,47.553
dominanttree1Fraxinus:dominanttree2Prunus:dominanttree3Acer,-0.017,-3.909,4.001,0.507,0.039,0.983,0.02,54.634
dominanttree1Fraxinus:dominanttree2Prunus:dominanttree3Betula,-0.002,-3.912,3.918,0.502,0.041,0.998,0.02,50.289
dominanttree1Fraxinus:dominanttree2Prunus:dominanttree3Eucalyptus,0.015,-3.88,3.869,0.5,0.041,1.016,0.021,47.888
dominanttree1Fraxinus:dominanttree2Prunus:dominanttree3Fagus,0.002,-3.894,3.918,0.501,0.038,1.002,0.02,50.285
dominanttree1Fraxinus:dominanttree2Prunus:dominanttree3Ilex,-0.003,-3.879,3.898,0.505,0.039,0.997,0.021,49.303
dominanttree1Fraxinus:dominanttree2Prunus:dominanttree3Pinus,-0.009,-3.938,3.87,0.501,0.04,0.991,0.019,47.921
dominanttree1Fraxinus:dominanttree2Prunus:dominanttree3Quercus,0.012,-3.764,3.8,0.501,0.043,1.012,0.023,44.697
dominanttree1Fraxinus:dominanttree2Prunus:dominanttree3Rubus,-0.008,-3.915,3.881,0.503,0.039,0.992,0.02,48.495
dominanttree1Fraxinus:dominanttree2Prunus:dominanttree3Sambucus,-0.009,-3.94,3.894,0.502,0.04,0.991,0.019,49.128
dominanttree1Fraxinus:dominanttree2Quercus,0.012,-3.961,3.965,0.503,0.039,1.012,0.019,52.735
dominanttree1Fraxinus:dominanttree2Quercus:dominanttree3Acer,0.008,-3.925,3.962,0.501,0.04,1.008,0.02,52.564
dominanttree1Fraxinus:dominanttree2Quercus:dominanttree3Betula,0.005,-3.868,3.917,0.503,0.04,1.005,0.021,50.26
dominanttree1Fraxinus:dominanttree2Quercus:dominanttree3Eucalyptus,0.008,-3.978,3.953,0.501,0.042,1.008,0.019,52.112
dominanttree1Fraxinus:dominanttree2Quercus:dominanttree3Fagus,-0.021,-3.987,3.881,0.503,0.038,0.979,0.019,48.467
dominanttree1Fraxinus:dominanttree2Quercus:dominanttree3Ilex,-0.009,-3.898,3.919,0.501,0.04,0.991,0.02,50.34
dominanttree1Fraxinus:dominanttree2Quercus:dominanttree3Pinus,0.007,-4.131,4.106,0.503,0.036,1.008,0.016,60.673
dominanttree1Fraxinus:dominanttree2Quercus:dominanttree3Quercus,0.002,-3.821,3.791,0.501,0.04,1.002,0.022,44.32
dominanttree1Fraxinus:dominanttree2Quercus:dominanttree3Rubus,-0.001,-3.923,3.863,0.501,0.041,0.999,0.02,47.608
dominanttree1Fraxinus:dominanttree2Quercus:dominanttree3Sambucus,0.004,-3.89,3.885,0.502,0.04,1.004,0.02,48.656
dominanttree1Fraxinus:dominanttree3Acer,-0.718,-4.458,2.957,0.644,0.042,0.488,0.012,19.234
dominanttree1Fraxinus:dominanttree3Betula,0.397,-3.245,4.06,0.585,0.045,1.487,0.039,57.977
dominanttree1Fraxinus:dominanttree3Eucalyptus,0.307,-3.384,3.933,0.571,0.043,1.359,0.034,51.063
dominanttree1Fraxinus:dominanttree3Fagus,-0.002,-3.903,3.929,0.501,0.04,0.998,0.02,50.848
dominanttree1Fraxinus:dominanttree3Ilex,-0.002,-3.956,3.97,0.5,0.039,0.998,0.019,52.961
dominanttree1Fraxinus:dominanttree3Pinus,0.016,-3.924,3.923,0.505,0.04,1.016,0.02,50.529
dominanttree1Fraxinus:dominanttree3Quercus,-0.005,-3.936,3.94,0.501,0.037,0.995,0.02,51.433
dominanttree1Fraxinus:dominanttree3Rubus,0.002,-3.943,3.941,0.504,0.041,1.002,0.019,51.472
dominanttree1Fraxinus:dominanttree3Sambucus,0.182,-3.413,3.79,0.543,0.045,1.2,0.033,44.237
dominanttree1Ilex,0.434,-3.238,4.072,0.593,0.042,1.543,0.039,58.697
dominanttree1Ilex:dominanttree2Acer,-0.001,-3.853,3.885,0.501,0.041,0.999,0.021,48.69
dominanttree1Ilex:dominanttree2Acer:dominanttree3Acer,-0.002,-3.903,3.921,0.506,0.041,0.998,0.02,50.431
dominanttree1Ilex:dominanttree2Acer:dominanttree3Betula,0.016,-3.871,3.868,0.504,0.041,1.017,0.021,47.846
dominanttree1Ilex:dominanttree2Acer:dominanttree3Eucalyptus,-0.002,-3.845,3.9,0.501,0.039,0.998,0.021,49.397
dominanttree1Ilex:dominanttree2Acer:dominanttree3Fagus,0.006,-3.904,3.869,0.503,0.04,1.006,0.02,47.896
dominanttree1Ilex:dominanttree2Acer:dominanttree3Ilex,0.006,-3.977,3.999,0.501,0.042,1.006,0.019,54.54
dominanttree1Ilex:dominanttree2Acer:dominanttree3Pinus,-0.009,-3.81,3.984,0.504,0.037,0.991,0.022,53.728
dominanttree1Ilex:dominanttree2Acer:dominanttree3Quercus,0.006,-3.88,3.892,0.501,0.04,1.006,0.021,49.029
dominanttree1Ilex:dominanttree2Acer:dominanttree3Rubus,0.005,-3.902,3.908,0.503,0.041,1.005,0.02,49.781
dominanttree1Ilex:dominanttree2Acer:dominanttree3Sambucus,0.008,-3.888,3.901,0.5,0.041,1.008,0.02,49.454
dominanttree1Ilex:dominanttree2Alnus,0.014,-3.923,3.993,0.503,0.038,1.014,0.02,54.193
dominanttree1Ilex:dominanttree2Alnus:dominanttree3Acer,-0.009,-3.817,3.779,0.501,0.044,0.991,0.022,43.769
dominanttree1Ilex:dominanttree2Alnus:dominanttree3Betula,-0.004,-3.963,3.938,0.505,0.039,0.996,0.019,51.336
dominanttree1Ilex:dominanttree2Alnus:dominanttree3Eucalyptus,0.018,-3.796,3.848,0.501,0.04,1.018,0.022,46.891
dominanttree1Ilex:dominanttree2Alnus:dominanttree3Fagus,0.007,-3.891,3.871,0.503,0.039,1.007,0.02,48.001
dominanttree1Ilex:dominanttree2Alnus:dominanttree3Ilex,-0.014,-3.962,3.97,0.502,0.038,0.986,0.019,52.992
dominanttree1Ilex:dominanttree2Alnus:dominanttree3Pinus,-0.003,-4.006,4.052,0.5,0.04,0.997,0.018,57.495
dominanttree1Ilex:dominanttree2Alnus:dominanttree3Quercus,-0.01,-3.841,3.789,0.504,0.042,0.99,0.021,44.207
dominanttree1Ilex:dominanttree2Alnus:dominanttree3Rubus,-0.001,-4.011,3.976,0.502,0.041,0.999,0.018,53.285
dominanttree1Ilex:dominanttree2Alnus:dominanttree3Sambucus,-0.002,-3.865,3.909,0.5,0.042,0.998,0.021,49.846
dominanttree1Ilex:dominanttree2Betula,-0.018,-3.871,3.837,0.506,0.041,0.982,0.021,46.376
dominanttree1Ilex:dominanttree2Betula:dominanttree3Acer,-0.006,-3.986,3.931,0.503,0.04,0.994,0.019,50.977
dominanttree1Ilex:dominanttree2Betula:dominanttree3Betula,-0.003,-3.898,3.84,0.503,0.041,0.997,0.02,46.516
dominanttree1Ilex:dominanttree2Betula:dominanttree3Eucalyptus,0.009,-3.928,3.949,0.504,0.039,1.009,0.02,51.902
dominanttree1Ilex:dominanttree2Betula:dominanttree3Fagus,0,-3.941,3.909,0.501,0.04,1,0.019,49.859
dominanttree1Ilex:dominanttree2Betula:dominanttree3Ilex,-0.01,-3.91,3.857,0.504,0.038,0.99,0.02,47.305
dominanttree1Ilex:dominanttree2Betula:dominanttree3Pinus,-0.013,-3.947,3.996,0.5,0.041,0.987,0.019,54.391
dominanttree1Ilex:dominanttree2Betula:dominanttree3Quercus,0.008,-3.855,3.931,0.502,0.042,1.008,0.021,50.938
dominanttree1Ilex:dominanttree2Betula:dominanttree3Rubus,-0.013,-3.961,3.947,0.504,0.041,0.987,0.019,51.755
dominanttree1Ilex:dominanttree2Betula:dominanttree3Sambucus,0.023,-3.952,4.012,0.505,0.04,1.023,0.019,55.27
dominanttree1Ilex:dominanttree2Cedrus,-0.006,-3.997,3.957,0.501,0.039,0.994,0.018,52.281
dominanttree1Ilex:dominanttree2Cedrus:dominanttree3Acer,-0.002,-3.808,3.831,0.5,0.044,0.998,0.022,46.087
dominanttree1Ilex:dominanttree2Cedrus:dominanttree3Betula,0.001,-3.878,3.846,0.501,0.042,1.001,0.021,46.808
dominanttree1Ilex:dominanttree2Cedrus:dominanttree3Eucalyptus,-0.021,-3.915,3.909,0.504,0.04,0.979,0.02,49.864
dominanttree1Ilex:dominanttree2Cedrus:dominanttree3Fagus,-0.011,-3.832,3.798,0.506,0.041,0.99,0.022,44.607
dominanttree1Ilex:dominanttree2Cedrus:dominanttree3Ilex,-0.001,-3.991,3.94,0.502,0.038,0.999,0.018,51.434
dominanttree1Ilex:dominanttree2Cedrus:dominanttree3Pinus,0.009,-3.881,3.903,0.5,0.041,1.009,0.021,49.53
dominanttree1Ilex:dominanttree2Cedrus:dominanttree3Quercus,0.004,-3.886,3.858,0.501,0.036,1.004,0.021,47.393
dominanttree1Ilex:dominanttree2Cedrus:dominanttree3Rubus,-0.002,-3.864,3.788,0.502,0.044,0.998,0.021,44.173
dominanttree1Ilex:dominanttree2Cedrus:dominanttree3Sambucus,-0.003,-3.845,3.956,0.503,0.039,0.997,0.021,52.234
dominanttree1Ilex:dominanttree2Crataegus,-0.004,-3.952,3.959,0.506,0.039,0.996,0.019,52.407
dominanttree1Ilex:dominanttree2Crataegus:dominanttree3Acer,0.01,-3.908,3.81,0.503,0.043,1.01,0.02,45.137
dominanttree1Ilex:dominanttree2Crataegus:dominanttree3Betula,-0.003,-3.965,3.942,0.501,0.041,0.997,0.019,51.517
dominanttree1Ilex:dominanttree2Crataegus:dominanttree3Eucalyptus,0.008,-3.936,3.993,0.501,0.036,1.008,0.02,54.225
dominanttree1Ilex:dominanttree2Crataegus:dominanttree3Fagus,-0.012,-3.999,3.894,0.503,0.039,0.988,0.018,49.127
dominanttree1Ilex:dominanttree2Crataegus:dominanttree3Ilex,0.015,-3.982,4.03,0.501,0.039,1.015,0.019,56.241
dominanttree1Ilex:dominanttree2Crataegus:dominanttree3Pinus,0.033,-4.006,3.939,0.512,0.042,1.033,0.018,51.362
dominanttree1Ilex:dominanttree2Crataegus:dominanttree3Quercus,0.002,-3.9,3.89,0.503,0.041,1.002,0.02,48.913
dominanttree1Ilex:dominanttree2Crataegus:dominanttree3Rubus,0.006,-3.956,3.97,0.5,0.041,1.006,0.019,53.01
dominanttree1Ilex:dominanttree2Crataegus:dominanttree3Sambucus,-0.008,-3.89,3.867,0.501,0.042,0.992,0.02,47.781
dominanttree1Ilex:dominanttree2Fagus,0.426,-3.155,4.007,0.596,0.042,1.531,0.043,55.001
dominanttree1Ilex:dominanttree2Fagus:dominanttree3Acer,0.016,-3.744,3.843,0.504,0.043,1.016,0.024,46.688
dominanttree1Ilex:dominanttree2Fagus:dominanttree3Betula,0.012,-3.843,3.932,0.502,0.037,1.012,0.021,51.015
dominanttree1Ilex:dominanttree2Fagus:dominanttree3Eucalyptus,0.003,-3.951,3.958,0.5,0.037,1.003,0.019,52.352
dominanttree1Ilex:dominanttree2Fagus:dominanttree3Fagus,0.011,-3.865,3.887,0.502,0.041,1.011,0.021,48.75
dominanttree1Ilex:dominanttree2Fagus:dominanttree3Ilex,0.002,-3.879,3.891,0.501,0.041,1.002,0.021,48.938
dominanttree1Ilex:dominanttree2Fagus:dominanttree3Pinus,0.004,-3.967,4.007,0.504,0.039,1.004,0.019,54.97
dominanttree1Ilex:dominanttree2Fagus:dominanttree3Quercus,0.407,-3.263,4.088,0.586,0.044,1.502,0.038,59.607
dominanttree1Ilex:dominanttree2Fagus:dominanttree3Rubus,-0.003,-3.905,3.944,0.504,0.04,0.997,0.02,51.623
dominanttree1Ilex:dominanttree2Fagus:dominanttree3Sambucus,0.001,-3.944,3.951,0.501,0.036,1.001,0.019,51.99
dominanttree1Ilex:dominanttree2Fraxinus,0.004,-3.962,3.972,0.5,0.04,1.004,0.019,53.11
dominanttree1Ilex:dominanttree2Fraxinus:dominanttree3Acer,0.001,-3.949,3.973,0.505,0.042,1.001,0.019,53.148
dominanttree1Ilex:dominanttree2Fraxinus:dominanttree3Betula,-0.003,-3.84,3.857,0.502,0.041,0.997,0.021,47.342
dominanttree1Ilex:dominanttree2Fraxinus:dominanttree3Eucalyptus,-0.023,-4.011,3.937,0.504,0.039,0.978,0.018,51.253
